1,Aircraft handling/service,1
2,Aircraft systems,1
3,Aircraft structures,1
4,Aircraft propeller/rotor,1
5,Aircraft power plant,1
6,Aircraft oper/perf/capability,1
7,Fluids/misc hardware,1
8,Operating environment,2
9,Physical environment,2
10,Conditions/weather/phenomena,2
11,Task environment,2
12,Not determined,3
13,Development,4
14,Management,4
15,Support/oversight/monitoring,4
16,Physical,5
17,Psychological,5
18,Experience/knowledge,5
19,Action/decision,5
20,Miscellaneous,5
21,Task performance,5
